plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score,reock
13311,8.587,,290,,,,-1.1929667579277632,
13312,8.587,,301,,,,-1.2242167579277543,
13313,8.366,,300,,,,-1.199275848837067,
13314,8.366,,292,,,,-1.176548576109801,
13315,8.996,,296,,,,-1.250912212472804,
13316,8.74,,303,,,,-1.245198576109418,
13317,8.74,,298,,,,-1.2309940306548766,
13318,8.74,,297,,,,-1.2281531215639685,
13319,8.991,,283,,,,-1.2134803942910013,
13320,7.811,,279,,,,-1.0841167579285482,
13321,7.811,,265,,,,-1.0443440306558325,
13322,7.811,,254,,,,-1.0130940306558411,
13323,9.844,,253,,,,-1.2135531215628996,
13324,9.293,,256,,,,-1.1669758488361754,
13325,9.293,,258,,,,-1.172657667017992,
13326,9.293,,257,,,,-1.1698167579270835,
13327,9.293,,264,,,,-1.1897031215634415,
13328,8.304,,265,,,,-1.0936440306553392,
13329,7.747,,266,,,,-1.0407849397468043,
13330,9.212,,270,,,,-1.1986485761089725,
13331,9.737,,272,,,,-1.256830394290264,
13332,9.785,,275,,,,-1.270153121562941,
13333,9.785,,276,,,,-1.2729940306538492,
13334,9.737,,279,,,,-1.276716757926622,
13335,9.737,,279,,,,-1.276716757926622,
13336,9.737,,275,,,,-1.265353121562989,
13337,9.737,,269,,,,-1.2483076670175393,
13338,9.737,,264,,,,-1.2341031215629978,
13339,9.737,,266,,,,-1.2397849397448144,
13340,9.737,,272,,,,-1.256830394290264,
13341,9.737,,273,,,,-1.2596713033811724,
13342,9.196,,276,,,,-1.2140940306544383,
13343,9.196,,285,,,,-1.2396622124726129,
13344,9.196,,279,,,,-1.2226167579271632,
13345,9.128,,277,,,,-1.2101349397454146,
13346,9.128,,278,,,,-1.212975848836323,
13347,9.128,,284,,,,-1.2300213033817726,
13348,9.128,,288,,,,-1.2413849397454058,
13349,9.128,,296,,,,-1.264112212472672,
13350,9.128,,302,,,,-1.2811576670181215,
13351,9.128,,277,,,,-1.2101349397454146,
13352,9.546,,276,,,,-1.2490940306540883,
13353,9.546,,274,,,,-1.2434122124722715,
13354,9.128,,269,,,,-1.1874076670181484,
13355,9.128,,270,,,,-1.1902485761090569,
13356,9.193,,278,,,,-1.2194758488362578,
13357,9.193,,268,,,,-1.191066757927175,
13358,9.193,,290,,,,-1.2535667579271572,
13359,9.193,,294,,,,-1.2649303942907903,
13360,9.193,,292,,,,-1.2592485761089738,
13361,9.193,,292,,,,-1.2592485761089738,
13362,9.193,,275,,,,-1.210953121563533,
13363,9.193,,274,,,,-1.208112212472625,
13364,9.193,,277,,,,-1.2166349397453495,
13365,9.193,,276,,,,-1.2137940306544412,
13366,8.983,,276,,,,-1.1927940306546514,
13367,7.655,,278,,,,-1.0656758488377958,
13368,6.266,,275,,,,-0.91825312156646,
13369,6.266,,278,,,,-0.9267758488391848,
13370,6.666,,291,,,,-1.0037076670205929,
13371,7.747,,290,,,,-1.108966757928603,
13372,8.281,,293,,,,-1.170889485200794,
13373,8.281,,282,,,,-1.139639485200803,
13374,8.281,,283,,,,-1.1424803942917112,
13375,8.281,,301,,,,-1.1936167579280603,
13376,8.281,,305,,,,-1.2049803942916937,
13377,8.281,,310,,,,-1.2191849397462349,
13378,8.281,,313,,,,-1.2277076670189595,
13379,8.281,,295,,,,-1.1765713033826106,
13380,8.281,,299,,,,-1.1879349397462438,
13381,8.93,,289,,,,-1.2244258488365118,
13382,8.93,,289,,,,-1.2244258488365118,
13383,9.063,,279,,,,-1.209316757927296,
13384,9.063,,298,,,,-1.2632940306545537,
13385,9.063,,279,,,,-1.209316757927296,
13386,7.574,,293,,,,-1.100189485201501,
13387,8.152,,285,,,,-1.1352622124736569,
13388,8.946,,285,,,,-1.2146622124728628,
13389,8.946,,291,,,,-1.2317076670183125,
13390,8.152,,290,,,,-1.149466757928198,
13391,8.152,,283,,,,-1.12958039429184,
13392,8.276,,280,,,,-1.1334576670189913,
13393,8.311,,267,,,,-1.1000258488371488,
13394,8.276,,266,,,,-1.0936849397462751,
13395,8.276,,266,,,,-1.0936849397462751,
13396,8.276,,274,,,,-1.1164122124735416,
13397,8.276,,283,,,,-1.1419803942917162,
13398,8.276,,266,,,,-1.0936849397462751,
13399,8.276,,270,,,,-1.1050485761099085,
13400,8.276,,270,,,,-1.1050485761099085,
13401,8.289,,270,,,,-1.1063485761098957,
13402,8.289,,263,,,,-1.0864622124735377,
