CUT,cod_candidato,nombre_candidato,partido,pacto,votos
9203,66022060,LUIS PENCHULEO MORALES,FRENTE AMPLIO,UNIDAD POR CHILE,284.0
9203,66022061,MANUELA ROYO LETELIER,FRENTE AMPLIO,UNIDAD POR CHILE,549.0
9203,66022062,XIMENA SEPULVEDA VARAS,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,57.0
9203,66022063,MARCELA ROA SUAZO,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,76.0
9203,66022064,JAVIERA FRANCISCA VICTORIA IBARRA LARENAS,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,43.0
9203,66022065,LLERY YANIRA CARRASCO ESPINOZA,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,55.0
9203,66022066,EDITH ELENA PALMA MENDEZ,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,35.0
9203,66022067,DANIELA NATALY GONZALEZ FARIÑA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,228.0
9203,66022068,GUIDO ANTONIO DIAZ VERGARA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,123.0
9203,66022069,ALEXIS OJEDA ALTAMIRANO,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,131.0
9203,66022070,PATRICIA DEL CARMEN MUÑOZ BELTRAN,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,86.0
9203,66022071,RAMIRO ADRIAN RODRIGUEZ MAUREIRA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,41.0
9203,66022072,JUAN CARLOS BELTRAN SILVA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,7302.0
9203,66022073,EDUARDO CRETTON REBOLLEDO,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,659.0
9203,66022074,VICTOR MANOLI NAZAL,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,65.0
